filename	array	injury	time	level
GSM7573.CEL	A-AFFY-19	severe	1d	T9
GSM31427.CEL	A-AFFY-19	mild	14d	T8
GSM31323.CEL	A-AFFY-19	mild	0.5h	T10
GSM31251.CEL	A-AFFY-20	normal	14d	T9
GSM31482.CEL	A-AFFY-18	severe	28d	T8
GSM4473.CEL	A-AFFY-19	mild	4h	T9
GSM4476.CEL	A-AFFY-19	mild	7d	T9
GSM31415.CEL	A-AFFY-18	normal	0h	T8
GSM31389.CEL	A-AFFY-18	severe	7d	T10
GSM31475.CEL	A-AFFY-18	severe	28d	T8
GSM31318.CEL	A-AFFY-18	mild	1d	T10
GSM31492.CEL	A-AFFY-18	severe	4h	T8
GSM6641.CEL	A-AFFY-20	mild	4h	T8
GSM31558.CEL	A-AFFY-18	moderate	4h	T9
GSM4422.CEL	A-AFFY-18	mild	4h	T9
GSM6654.CEL	A-AFFY-20	mild	4h	T10
GSM6652.CEL	A-AFFY-20	mild	4h	T10
GSM31548.CEL	A-AFFY-20	moderate	2d	T9
GSM31382.CEL	A-AFFY-20	severe	4h	T10
GSM31595.CEL	A-AFFY-18	moderate	7d	T9
GSM1333.CEL	A-AFFY-18	normal	0.5h	T9
GSM31504.CEL	A-AFFY-20	severe	4h	T8
GSM31481.CEL	A-AFFY-20	severe	1d	T8
GSM6629.CEL	A-AFFY-20	normal	7d	T8
GSM31510.CEL	A-AFFY-20	normal	3d	T9
GSM31502.CEL	A-AFFY-20	severe	7d	T8
GSM31603.CEL	A-AFFY-18	severe	28d	T9
GSM31311.CEL	A-AFFY-18	mild	14d	T10
GSM31494.CEL	A-AFFY-19	severe	7d	T8
GSM31468.CEL	A-AFFY-19	severe	1d	T8
GSM31604.CEL	A-AFFY-18	severe	28d	T9
GSM31370.CEL	A-AFFY-19	severe	28d	T10
GSM31397.CEL	A-AFFY-18	normal	14d	T8
GSM31316.CEL	A-AFFY-18	mild	1d	T10
GSM31434.CEL	A-AFFY-18	mild	1d	T8
GSM31474.CEL	A-AFFY-19	severe	1d	T8
GSM31278.CEL	A-AFFY-18	normal	14d	T10
GSM31497.CEL	A-AFFY-18	severe	7d	T8
GSM6668.CEL	A-AFFY-20	mild	7d	T9
GSM6661.CEL	A-AFFY-20	mild	1d	T9
GSM31428.CEL	A-AFFY-20	mild	14d	T8
GSM31513.CEL	A-AFFY-18	moderate	0.5d	T9
GSM31401.CEL	A-AFFY-18	normal	1d	T8
GSM7601.CEL	A-AFFY-20	severe	7d	T9
GSM1337.CEL	A-AFFY-18	normal	0h	T9
GSM31390.CEL	A-AFFY-18	severe	7d	T10
GSM31361.CEL	A-AFFY-19	severe	1d	T10
GSM4458.CEL	A-AFFY-19	mild	4h	T10
GSM31289.CEL	A-AFFY-18	normal	4h	T10
GSM4469.CEL	A-AFFY-19	mild	1d	T9
GSM31270.CEL	A-AFFY-18	normal	4h	T9
GSM6665.CEL	A-AFFY-20	mild	4h	T9
GSM6669.CEL	A-AFFY-20	mild	7d	T9
GSM31421.CEL	A-AFFY-19	mild	14d	T8
GSM31356.CEL	A-AFFY-20	severe	1d	T10
GSM31299.CEL	A-AFFY-18	mild	14d	T9
GSM31514.CEL	A-AFFY-19	moderate	0.5d	T9
GSM6655.CEL	A-AFFY-20	mild	4h	T10
GSM4446.CEL	A-AFFY-19	mild	4h	T8
GSM4443.CEL	A-AFFY-19	mild	1d	T8
GSM4432.CEL	A-AFFY-19	normal	0h	T8
GSM31413.CEL	A-AFFY-18	normal	4h	T8
GSM31483.CEL	A-AFFY-18	severe	4h	T8
GSM7592.CEL	A-AFFY-20	severe	7d	T9
GSM4480.CEL	A-AFFY-19	normal	1d	T9
GSM1324.CEL	A-AFFY-18	mild	0.5h	T9
GSM31268.CEL	A-AFFY-18	normal	2d	T9
GSM31258.CEL	A-AFFY-18	normal	14d	T9
GSM31379.CEL	A-AFFY-19	severe	4h	T10
GSM31509.CEL	A-AFFY-18	normal	3d	T9
GSM6628.CEL	A-AFFY-20	normal	7d	T8
GSM31465.CEL	A-AFFY-19	severe	1d	T8
GSM31503.CEL	A-AFFY-19	severe	4h	T8
GSM31314.CEL	A-AFFY-20	mild	14d	T10
GSM31334.CEL	A-AFFY-18	mild	4h	T10
GSM7578.CEL	A-AFFY-18	severe	4h	T9
GSM4454.CEL	A-AFFY-19	mild	1d	T10
GSM31281.CEL	A-AFFY-18	normal	0.5h	T10
GSM31454.CEL	A-AFFY-18	mild	7d	T8
GSM6671.CEL	A-AFFY-20	mild	7d	T9
GSM31553.CEL	A-AFFY-19	moderate	2d	T9
GSM31488.CEL	A-AFFY-18	severe	28d	T8
GSM31403.CEL	A-AFFY-20	normal	14d	T8
GSM4445.CEL	A-AFFY-19	mild	1d	T8
GSM31196.CEL	A-AFFY-18	mild	14d	T9
GSM31565.CEL	A-AFFY-19	moderate	4h	T9
GSM6673.CEL	A-AFFY-20	normal	1d	T9
GSM31426.CEL	A-AFFY-19	mild	14d	T8
GSM31545.CEL	A-AFFY-20	moderate	28d	T9
GSM31377.CEL	A-AFFY-19	severe	4h	T10
GSM31336.CEL	A-AFFY-19	mild	4h	T10
GSM31347.CEL	A-AFFY-19	severe	14d	T10
GSM31440.CEL	A-AFFY-20	mild	0.5h	T8
GSM31444.CEL	A-AFFY-19	mild	0.5h	T8
GSM31606.CEL	A-AFFY-19	severe	28d	T9
GSM4429.CEL	A-AFFY-19	normal	4h	T8
GSM4451.CEL	A-AFFY-19	mild	7d	T8
GSM31273.CEL	A-AFFY-18	normal	1d	T10
GSM7572.CEL	A-AFFY-18	severe	1d	T9
GSM31256.CEL	A-AFFY-20	normal	14d	T9
GSM31423.CEL	A-AFFY-18	mild	14d	T8
GSM31607.CEL	A-AFFY-19	severe	28d	T9
GSM31252.CEL	A-AFFY-19	normal	14d	T9
GSM7580.CEL	A-AFFY-20	severe	4h	T9
GSM6670.CEL	A-AFFY-20	mild	7d	T9
GSM31402.CEL	A-AFFY-19	normal	14d	T8
GSM31351.CEL	A-AFFY-20	severe	14d	T10
GSM7588.CEL	A-AFFY-19	severe	4h	T9
GSM4461.CEL	A-AFFY-19	mild	4h	T10
GSM31594.CEL	A-AFFY-20	moderate	7d	T9
GSM7584.CEL	A-AFFY-18	severe	4h	T9
GSM31568.CEL	A-AFFY-18	moderate	4h	T9
GSM31516.CEL	A-AFFY-19	moderate	0.5d	T9
GSM7594.CEL	A-AFFY-19	severe	7d	T9
GSM31264.CEL	A-AFFY-18	normal	4h	T9
GSM31538.CEL	A-AFFY-18	moderate	28d	T9
GSM31263.CEL	A-AFFY-18	normal	28d	T9
GSM7566.CEL	A-AFFY-18	severe	1d	T9
GSM31341.CEL	A-AFFY-18	mild	7d	T10
GSM31368.CEL	A-AFFY-20	severe	28d	T10
GSM31274.CEL	A-AFFY-18	normal	1d	T10
GSM31666.CEL	A-AFFY-18	moderate	1d	T9
GSM29449.CEL	A-AFFY-18	moderate	4h	T10
GSM4486.CEL	A-AFFY-19	normal	0h	T9
GSM1335.CEL	A-AFFY-18	normal	7d	T9
GSM31372.CEL	A-AFFY-19	severe	28d	T10
GSM7575.CEL	A-AFFY-18	severe	1d	T9
GSM31523.CEL	A-AFFY-19	moderate	0.5d	T9
GSM31404.CEL	A-AFFY-19	normal	0.5h	T8
GSM31197.CEL	A-AFFY-18	mild	14d	T9
GSM4438.CEL	A-AFFY-19	normal	7d	T10
GSM7599.CEL	A-AFFY-18	severe	7d	T9
GSM31470.CEL	A-AFFY-20	severe	14d	T8
GSM31531.CEL	A-AFFY-19	moderate	1d	T9
GSM31578.CEL	A-AFFY-20	moderate	3d	T9
GSM31330.CEL	A-AFFY-18	mild	0.5h	T10
GSM7587.CEL	A-AFFY-18	severe	4h	T9
GSM31533.CEL	A-AFFY-18	moderate	1d	T9
GSM31599.CEL	A-AFFY-18	severe	14d	T9
