source	class	co_complex
hu.MAP	observed	701
hu.MAP	shuffled	315
hu.MAP	shuffled	373
hu.MAP	shuffled	372
hu.MAP	shuffled	322
hu.MAP	shuffled	375
hu.MAP	shuffled	485
hu.MAP	shuffled	450
hu.MAP	shuffled	414
hu.MAP	shuffled	496
hu.MAP	shuffled	460
hu.MAP	shuffled	301
hu.MAP	shuffled	368
hu.MAP	shuffled	409
hu.MAP	shuffled	390
hu.MAP	shuffled	316
hu.MAP	shuffled	387
hu.MAP	shuffled	373
hu.MAP	shuffled	287
hu.MAP	shuffled	352
hu.MAP	shuffled	310
hu.MAP	shuffled	442
hu.MAP	shuffled	404
hu.MAP	shuffled	397
hu.MAP	shuffled	321
hu.MAP	shuffled	407
hu.MAP	shuffled	445
hu.MAP	shuffled	366
hu.MAP	shuffled	323
hu.MAP	shuffled	440
hu.MAP	shuffled	318
hu.MAP	shuffled	434
hu.MAP	shuffled	276
hu.MAP	shuffled	336
hu.MAP	shuffled	298
hu.MAP	shuffled	282
hu.MAP	shuffled	321
hu.MAP	shuffled	401
hu.MAP	shuffled	283
hu.MAP	shuffled	363
hu.MAP	shuffled	252
hu.MAP	shuffled	475
hu.MAP	shuffled	308
hu.MAP	shuffled	382
hu.MAP	shuffled	436
hu.MAP	shuffled	279
hu.MAP	shuffled	498
hu.MAP	shuffled	381
hu.MAP	shuffled	395
hu.MAP	shuffled	410
hu.MAP	shuffled	373
hu.MAP	shuffled	408
hu.MAP	shuffled	334
hu.MAP	shuffled	377
hu.MAP	shuffled	282
hu.MAP	shuffled	400
hu.MAP	shuffled	283
hu.MAP	shuffled	397
hu.MAP	shuffled	277
hu.MAP	shuffled	400
hu.MAP	shuffled	345
hu.MAP	shuffled	396
hu.MAP	shuffled	455
hu.MAP	shuffled	309
hu.MAP	shuffled	451
hu.MAP	shuffled	392
hu.MAP	shuffled	461
hu.MAP	shuffled	332
hu.MAP	shuffled	421
hu.MAP	shuffled	358
hu.MAP	shuffled	379
hu.MAP	shuffled	345
hu.MAP	shuffled	311
hu.MAP	shuffled	409
hu.MAP	shuffled	302
hu.MAP	shuffled	411
hu.MAP	shuffled	372
hu.MAP	shuffled	444
hu.MAP	shuffled	470
hu.MAP	shuffled	364
hu.MAP	shuffled	389
hu.MAP	shuffled	296
hu.MAP	shuffled	316
hu.MAP	shuffled	362
hu.MAP	shuffled	419
hu.MAP	shuffled	344
hu.MAP	shuffled	391
hu.MAP	shuffled	363
hu.MAP	shuffled	246
hu.MAP	shuffled	417
hu.MAP	shuffled	308
hu.MAP	shuffled	448
hu.MAP	shuffled	335
hu.MAP	shuffled	324
hu.MAP	shuffled	351
hu.MAP	shuffled	293
hu.MAP	shuffled	276
hu.MAP	shuffled	345
hu.MAP	shuffled	412
hu.MAP	shuffled	302
hu.MAP	shuffled	418
hu.MAP	shuffled	262
hu.MAP	shuffled	383
hu.MAP	shuffled	305
hu.MAP	shuffled	413
hu.MAP	shuffled	340
hu.MAP	shuffled	330
hu.MAP	shuffled	371
hu.MAP	shuffled	492
hu.MAP	shuffled	346
hu.MAP	shuffled	426
hu.MAP	shuffled	403
hu.MAP	shuffled	357
hu.MAP	shuffled	462
hu.MAP	shuffled	377
hu.MAP	shuffled	310
hu.MAP	shuffled	529
hu.MAP	shuffled	321
hu.MAP	shuffled	366
hu.MAP	shuffled	318
hu.MAP	shuffled	356
hu.MAP	shuffled	325
hu.MAP	shuffled	434
hu.MAP	shuffled	334
hu.MAP	shuffled	364
hu.MAP	shuffled	348
hu.MAP	shuffled	424
hu.MAP	shuffled	323
hu.MAP	shuffled	337
hu.MAP	shuffled	281
hu.MAP	shuffled	440
hu.MAP	shuffled	301
hu.MAP	shuffled	333
hu.MAP	shuffled	309
hu.MAP	shuffled	381
hu.MAP	shuffled	402
hu.MAP	shuffled	376
hu.MAP	shuffled	439
hu.MAP	shuffled	395
hu.MAP	shuffled	285
hu.MAP	shuffled	316
hu.MAP	shuffled	368
hu.MAP	shuffled	345
hu.MAP	shuffled	317
hu.MAP	shuffled	484
hu.MAP	shuffled	379
hu.MAP	shuffled	434
hu.MAP	shuffled	306
hu.MAP	shuffled	358
hu.MAP	shuffled	358
hu.MAP	shuffled	505
hu.MAP	shuffled	342
hu.MAP	shuffled	400
hu.MAP	shuffled	428
hu.MAP	shuffled	400
hu.MAP	shuffled	331
hu.MAP	shuffled	391
hu.MAP	shuffled	322
hu.MAP	shuffled	314
hu.MAP	shuffled	334
hu.MAP	shuffled	358
hu.MAP	shuffled	344
hu.MAP	shuffled	384
hu.MAP	shuffled	352
hu.MAP	shuffled	343
hu.MAP	shuffled	387
hu.MAP	shuffled	355
hu.MAP	shuffled	362
hu.MAP	shuffled	369
hu.MAP	shuffled	371
hu.MAP	shuffled	298
hu.MAP	shuffled	265
hu.MAP	shuffled	281
hu.MAP	shuffled	396
hu.MAP	shuffled	325
hu.MAP	shuffled	521
hu.MAP	shuffled	438
hu.MAP	shuffled	513
hu.MAP	shuffled	318
hu.MAP	shuffled	427
hu.MAP	shuffled	312
hu.MAP	shuffled	336
hu.MAP	shuffled	420
hu.MAP	shuffled	354
hu.MAP	shuffled	333
hu.MAP	shuffled	322
hu.MAP	shuffled	335
hu.MAP	shuffled	346
hu.MAP	shuffled	452
hu.MAP	shuffled	430
hu.MAP	shuffled	418
hu.MAP	shuffled	337
hu.MAP	shuffled	329
hu.MAP	shuffled	406
hu.MAP	shuffled	333
hu.MAP	shuffled	313
hu.MAP	shuffled	423
hu.MAP	shuffled	338
hu.MAP	shuffled	325
hu.MAP	shuffled	383
hu.MAP	shuffled	344
hu.MAP	shuffled	452
hu.MAP	shuffled	344
hu.MAP	shuffled	346
hu.MAP	shuffled	290
hu.MAP	shuffled	330
hu.MAP	shuffled	452
hu.MAP	shuffled	316
hu.MAP	shuffled	316
hu.MAP	shuffled	375
hu.MAP	shuffled	388
hu.MAP	shuffled	270
hu.MAP	shuffled	389
hu.MAP	shuffled	459
hu.MAP	shuffled	406
hu.MAP	shuffled	321
hu.MAP	shuffled	356
hu.MAP	shuffled	403
hu.MAP	shuffled	344
hu.MAP	shuffled	394
hu.MAP	shuffled	364
hu.MAP	shuffled	310
hu.MAP	shuffled	489
hu.MAP	shuffled	380
hu.MAP	shuffled	396
hu.MAP	shuffled	363
hu.MAP	shuffled	339
hu.MAP	shuffled	353
hu.MAP	shuffled	328
hu.MAP	shuffled	340
hu.MAP	shuffled	409
hu.MAP	shuffled	357
hu.MAP	shuffled	448
hu.MAP	shuffled	495
hu.MAP	shuffled	350
hu.MAP	shuffled	403
hu.MAP	shuffled	388
hu.MAP	shuffled	397
hu.MAP	shuffled	302
hu.MAP	shuffled	354
hu.MAP	shuffled	345
hu.MAP	shuffled	379
hu.MAP	shuffled	472
hu.MAP	shuffled	319
hu.MAP	shuffled	496
hu.MAP	shuffled	400
hu.MAP	shuffled	334
hu.MAP	shuffled	404
hu.MAP	shuffled	346
hu.MAP	shuffled	345
hu.MAP	shuffled	318
hu.MAP	shuffled	342
hu.MAP	shuffled	327
hu.MAP	shuffled	282
hu.MAP	shuffled	332
hu.MAP	shuffled	595
hu.MAP	shuffled	383
hu.MAP	shuffled	335
hu.MAP	shuffled	427
hu.MAP	shuffled	408
hu.MAP	shuffled	416
hu.MAP	shuffled	302
hu.MAP	shuffled	316
hu.MAP	shuffled	298
hu.MAP	shuffled	366
hu.MAP	shuffled	378
hu.MAP	shuffled	329
hu.MAP	shuffled	364
hu.MAP	shuffled	326
hu.MAP	shuffled	372
hu.MAP	shuffled	349
hu.MAP	shuffled	304
hu.MAP	shuffled	473
hu.MAP	shuffled	377
hu.MAP	shuffled	403
hu.MAP	shuffled	343
hu.MAP	shuffled	371
hu.MAP	shuffled	302
hu.MAP	shuffled	433
hu.MAP	shuffled	367
hu.MAP	shuffled	399
hu.MAP	shuffled	354
hu.MAP	shuffled	389
hu.MAP	shuffled	361
hu.MAP	shuffled	311
hu.MAP	shuffled	415
hu.MAP	shuffled	390
hu.MAP	shuffled	352
hu.MAP	shuffled	479
hu.MAP	shuffled	371
hu.MAP	shuffled	437
hu.MAP	shuffled	317
hu.MAP	shuffled	365
hu.MAP	shuffled	300
hu.MAP	shuffled	305
hu.MAP	shuffled	337
hu.MAP	shuffled	447
hu.MAP	shuffled	496
hu.MAP	shuffled	345
hu.MAP	shuffled	406
hu.MAP	shuffled	354
hu.MAP	shuffled	300
hu.MAP	shuffled	371
hu.MAP	shuffled	384
hu.MAP	shuffled	378
hu.MAP	shuffled	351
hu.MAP	shuffled	441
hu.MAP	shuffled	354
hu.MAP	shuffled	360
hu.MAP	shuffled	311
hu.MAP	shuffled	330
hu.MAP	shuffled	385
hu.MAP	shuffled	445
hu.MAP	shuffled	327
hu.MAP	shuffled	332
hu.MAP	shuffled	337
hu.MAP	shuffled	321
hu.MAP	shuffled	287
hu.MAP	shuffled	366
hu.MAP	shuffled	472
hu.MAP	shuffled	345
hu.MAP	shuffled	340
hu.MAP	shuffled	257
hu.MAP	shuffled	307
hu.MAP	shuffled	362
hu.MAP	shuffled	404
hu.MAP	shuffled	409
hu.MAP	shuffled	387
hu.MAP	shuffled	309
hu.MAP	shuffled	344
hu.MAP	shuffled	342
hu.MAP	shuffled	294
hu.MAP	shuffled	324
hu.MAP	shuffled	368
hu.MAP	shuffled	340
hu.MAP	shuffled	457
hu.MAP	shuffled	322
hu.MAP	shuffled	338
hu.MAP	shuffled	401
hu.MAP	shuffled	407
hu.MAP	shuffled	343
hu.MAP	shuffled	350
hu.MAP	shuffled	475
hu.MAP	shuffled	468
hu.MAP	shuffled	403
hu.MAP	shuffled	370
hu.MAP	shuffled	353
hu.MAP	shuffled	353
hu.MAP	shuffled	417
hu.MAP	shuffled	325
hu.MAP	shuffled	281
hu.MAP	shuffled	325
hu.MAP	shuffled	413
hu.MAP	shuffled	395
hu.MAP	shuffled	322
hu.MAP	shuffled	391
hu.MAP	shuffled	344
