gene	module
ENSG00000227232	0
ENSG00000237683	3
ENSG00000225972	5
ENSG00000225630	5
ENSG00000237973	5
ENSG00000229344	5
ENSG00000240409	5
ENSG00000248527	0
ENSG00000198744	5
ENSG00000188976	0
ENSG00000188290	0
ENSG00000187608	5
ENSG00000188157	2
ENSG00000078808	13
ENSG00000176022	0
ENSG00000160087	15
ENSG00000162572	0
ENSG00000131584	2
ENSG00000169972	10
ENSG00000127054	13
ENSG00000240731	13
ENSG00000224051	0
ENSG00000107404	15
ENSG00000162576	9
ENSG00000175756	12
ENSG00000221978	13
ENSG00000224870	4
ENSG00000242485	0
ENSG00000235098	1
ENSG00000205116	1
ENSG00000179403	1
ENSG00000160072	0
ENSG00000197785	10
ENSG00000205090	2
ENSG00000160075	5
ENSG00000228594	2
ENSG00000272106	1
ENSG00000197530	2
ENSG00000248333	4
ENSG00000189339	1
ENSG00000008128	15
ENSG00000008130	3
ENSG00000078369	0
ENSG00000187730	9
ENSG00000067606	1
ENSG00000157933	3
ENSG00000157916	1
ENSG00000157911	1
ENSG00000149527	1
ENSG00000157873	3
ENSG00000157870	2
ENSG00000158109	2
ENSG00000116213	13
ENSG00000227372	1
ENSG00000130764	1
ENSG00000116198	1
ENSG00000198912	0
ENSG00000069424	2
ENSG00000116254	2
ENSG00000116251	8
ENSG00000116237	0
ENSG00000097021	2
ENSG00000215788	2
ENSG00000171680	0
ENSG00000204859	0
ENSG00000162413	0
ENSG00000007923	1
ENSG00000171735	2
ENSG00000049245	1
ENSG00000049246	1
ENSG00000116288	12
ENSG00000116285	0
ENSG00000142599	2
ENSG00000074800	5
ENSG00000142583	7
ENSG00000049239	1
ENSG00000171621	0
ENSG00000171612	4
ENSG00000171603	2
ENSG00000178585	1
ENSG00000162441	1
ENSG00000162444	1
ENSG00000130939	1
ENSG00000054523	1
ENSG00000142657	0
ENSG00000160049	11
ENSG00000142655	2
ENSG00000120948	4
ENSG00000271895	2
ENSG00000116649	5
ENSG00000171824	1
ENSG00000116661	9
ENSG00000132879	2
ENSG00000116670	11
ENSG00000177674	11
ENSG00000011021	1
ENSG00000116685	1
ENSG00000083444	3
ENSG00000116688	4
ENSG00000116691	3
ENSG00000028137	3
ENSG00000048707	1
ENSG00000162496	3
ENSG00000162493	3
ENSG00000116731	1
ENSG00000189337	1
ENSG00000142634	5
ENSG00000116786	5
ENSG00000233954	0
ENSG00000065526	0
ENSG00000116809	0
ENSG00000232456	1
ENSG00000185519	1
ENSG00000055070	10
ENSG00000157191	11
ENSG00000219481	1
ENSG00000215908	2
ENSG00000236698	1
ENSG00000058453	2
ENSG00000159363	2
ENSG00000117118	11
ENSG00000117115	1
ENSG00000179051	0
ENSG00000074964	5
ENSG00000117154	5
ENSG00000159423	5
ENSG00000169991	0
ENSG00000127481	14
ENSG00000053372	12
ENSG00000053371	9
ENSG00000040487	1
ENSG00000077549	7
ENSG00000173436	12
ENSG00000158747	5
ENSG00000162545	2
ENSG00000090432	1
ENSG00000158828	4
ENSG00000244038	7
ENSG00000127483	14
ENSG00000075151	0
ENSG00000117298	3
ENSG00000162551	3
ENSG00000076864	2
ENSG00000090686	1
ENSG00000218510	8
ENSG00000070831	1
ENSG00000173372	7
ENSG00000159189	7
ENSG00000173369	7
ENSG00000133216	1
ENSG00000004487	2
ENSG00000125944	1
ENSG00000088280	3
ENSG00000117318	3
ENSG00000142676	8
ENSG00000011007	4
ENSG00000057757	1
ENSG00000011009	5
ENSG00000117305	1
ENSG00000179163	0
ENSG00000189266	6
ENSG00000188529	6
ENSG00000001461	1
ENSG00000133226	1
ENSG00000169504	6
ENSG00000117614	8
ENSG00000117616	1
ENSG00000183726	1
ENSG00000204178	0
ENSG00000157978	1
ENSG00000117643	0
ENSG00000162430	3
ENSG00000117640	2
ENSG00000117632	1
ENSG00000130695	1
ENSG00000142669	3
ENSG00000158062	2
ENSG00000198830	0
ENSG00000117676	7
ENSG00000117713	1
ENSG00000142751	1
ENSG00000198746	1
ENSG00000090273	12
ENSG00000253368	2
ENSG00000142784	1
ENSG00000186501	0
ENSG00000158195	6
ENSG00000000938	3
ENSG00000126709	5
ENSG00000117758	1
ENSG00000117751	1
ENSG00000130775	11
ENSG00000117748	9
ENSG00000158156	10
ENSG00000228589	6
ENSG00000126698	4
ENSG00000130770	12
ENSG00000204138	1
ENSG00000197989	3
ENSG00000120656	11
ENSG00000198492	0
ENSG00000116350	3
ENSG00000060656	0
ENSG00000162511	7
ENSG00000162512	2
ENSG00000134644	5
ENSG00000060688	1
ENSG00000121766	1
ENSG00000121769	0
ENSG00000142910	3
ENSG00000162517	10
ENSG00000084636	1
ENSG00000121753	5
ENSG00000184007	4
ENSG00000121774	0
ENSG00000025800	0
ENSG00000084652	11
ENSG00000084623	3
ENSG00000116478	11
ENSG00000175130	1
ENSG00000160058	1
ENSG00000162521	1
ENSG00000134684	3
ENSG00000160097	2
ENSG00000121905	2
ENSG00000121900	12
ENSG00000116514	7
ENSG00000004455	11
ENSG00000142920	1
ENSG00000116525	1
ENSG00000160094	13
ENSG00000134686	11
ENSG00000187513	3
ENSG00000243749	7
ENSG00000116560	0
ENSG00000146463	0
ENSG00000229994	8
ENSG00000142687	0
ENSG00000020129	2
ENSG00000116819	0
ENSG00000126067	1
ENSG00000142686	2
ENSG00000116863	0
ENSG00000054116	5
ENSG00000116871	1
ENSG00000054118	0
ENSG00000142694	3
ENSG00000116883	5
ENSG00000196182	3
ENSG00000181817	5
ENSG00000116898	12
ENSG00000119535	7
ENSG00000163875	2
ENSG00000163879	4
ENSG00000134697	0
ENSG00000196449	0
ENSG00000197982	1
ENSG00000183431	3
ENSG00000183386	3
ENSG00000183520	0
ENSG00000116954	1
ENSG00000158315	1
ENSG00000174574	1
ENSG00000168653	12
ENSG00000127603	1
ENSG00000090621	7
ENSG00000116983	2
ENSG00000084072	1
ENSG00000043514	0
ENSG00000168389	0
ENSG00000131236	6
ENSG00000131238	7
ENSG00000259943	1
ENSG00000084073	6
ENSG00000049089	1
ENSG00000084070	7
ENSG00000117016	2
ENSG00000066136	10
ENSG00000010803	0
ENSG00000198815	0
ENSG00000127125	4
ENSG00000236876	4
ENSG00000065978	3
ENSG00000117385	3
ENSG00000177868	8
ENSG00000117394	3
ENSG00000117395	0
ENSG00000179178	1
ENSG00000066056	3
ENSG00000066322	1
ENSG00000159479	1
ENSG00000178922	10
ENSG00000142949	1
ENSG00000117408	1
ENSG00000132768	1
ENSG00000117410	10
ENSG00000117411	10
ENSG00000196517	1
ENSG00000178028	0
ENSG00000117419	0
ENSG00000187147	1
ENSG00000142937	8
ENSG00000173846	3
ENSG00000070785	1
ENSG00000126107	1
ENSG00000126088	10
ENSG00000132781	10
ENSG00000070759	1
ENSG00000236624	9
ENSG00000117450	1
ENSG00000117448	11
ENSG00000132780	1
ENSG00000159592	6
ENSG00000159596	0
ENSG00000086015	0
ENSG00000117461	5
ENSG00000085998	1
ENSG00000171357	1
ENSG00000132128	1
ENSG00000173660	12
ENSG00000117480	1
ENSG00000079277	7
ENSG00000123472	2
ENSG00000159658	1
ENSG00000162368	4
ENSG00000235105	1
ENSG00000185104	1
ENSG00000123091	0
ENSG00000085832	1
ENSG00000117859	1
ENSG00000078618	0
ENSG00000117862	3
ENSG00000134717	1
ENSG00000157077	0
ENSG00000154222	1
ENSG00000134748	4
ENSG00000162378	2
ENSG00000228929	8
ENSG00000121310	5
ENSG00000116171	1
ENSG00000162384	0
ENSG00000162385	12
ENSG00000058799	11
ENSG00000272091	1
ENSG00000116209	1
ENSG00000116221	0
ENSG00000157216	0
ENSG00000243725	1
ENSG00000116133	1
ENSG00000162402	0
ENSG00000162407	1
ENSG00000185839	6
ENSG00000162601	1
ENSG00000177606	3
ENSG00000134716	1
ENSG00000162599	9
ENSG00000162604	1
ENSG00000132854	1
ENSG00000162607	4
ENSG00000125703	1
ENSG00000079739	5
ENSG00000162434	14
ENSG00000162433	9
ENSG00000116675	1
ENSG00000213625	6
ENSG00000184588	1
ENSG00000142864	4
ENSG00000116717	3
ENSG00000172380	9
ENSG00000162595	2
ENSG00000116729	9
ENSG00000066557	1
ENSG00000116754	1
ENSG00000118454	1
ENSG00000197568	10
ENSG00000132485	1
ENSG00000116791	0
ENSG00000162623	8
ENSG00000117054	4
ENSG00000137955	8
ENSG00000184005	1
ENSG00000226415	3
ENSG00000142892	1
ENSG00000226084	8
ENSG00000154027	1
ENSG00000077254	2
ENSG00000180488	1
ENSG00000219201	6
ENSG00000162613	14
ENSG00000162616	3
ENSG00000137959	0
ENSG00000137965	0
ENSG00000162618	3
ENSG00000137941	1
ENSG00000142875	1
ENSG00000117133	6
ENSG00000174021	3
ENSG00000162642	1
ENSG00000153904	9
ENSG00000142871	0
ENSG00000117174	4
ENSG00000016602	1
ENSG00000097033	1
ENSG00000183291	1
ENSG00000143013	6
ENSG00000065243	1
ENSG00000137947	0
ENSG00000137944	0
ENSG00000213516	4
ENSG00000162645	3
ENSG00000197147	1
ENSG00000171492	1
ENSG00000162664	4
ENSG00000233593	4
ENSG00000122482	1
ENSG00000069712	0
ENSG00000122406	8
ENSG00000154511	1
ENSG00000117500	6
ENSG00000223745	1
ENSG00000137942	9
ENSG00000067334	3
ENSG00000117528	1
ENSG00000117525	3
ENSG00000117519	3
ENSG00000235501	8
ENSG00000122481	1
ENSG00000137970	8
ENSG00000162627	8
ENSG00000099260	3
ENSG00000156875	1
ENSG00000122435	1
ENSG00000137996	0
ENSG00000162692	0
ENSG00000162694	0
ENSG00000170989	3
ENSG00000183298	8
ENSG00000185946	14
ENSG00000240038	0
ENSG00000198890	1
ENSG00000162639	1
ENSG00000134186	4
ENSG00000116266	1
ENSG00000121957	1
ENSG00000121940	1
ENSG00000085433	1
ENSG00000244716	8
ENSG00000197780	4
ENSG00000215717	1
ENSG00000031698	0
ENSG00000143126	1
ENSG00000134222	1
ENSG00000134243	1
ENSG00000143106	11
ENSG00000065135	6
ENSG00000116337	5
ENSG00000168765	3
ENSG00000213366	7
ENSG00000134184	0
ENSG00000134201	9
ENSG00000134202	4
ENSG00000184371	1
ENSG00000168710	9
ENSG00000143093	2
ENSG00000116396	2
ENSG00000134248	11
ENSG00000143119	7
ENSG00000156171	7
ENSG00000064886	3
ENSG00000116455	2
ENSG00000116459	0
ENSG00000143110	3
ENSG00000121933	7
ENSG00000116473	4
ENSG00000143079	6
ENSG00000116489	0
ENSG00000155363	5
ENSG00000155366	3
ENSG00000155380	0
ENSG00000163349	9
ENSG00000116774	7
ENSG00000116752	0
ENSG00000213281	1
ENSG00000009307	4
ENSG00000052723	1
ENSG00000163393	1
ENSG00000163399	2
ENSG00000198162	1
ENSG00000092621	1
ENSG00000198019	7
ENSG00000171943	7
ENSG00000269996	4
ENSG00000196369	7
ENSG00000254539	0
ENSG00000178104	9
ENSG00000272755	4
ENSG00000223380	6
ENSG00000117289	6
ENSG00000121851	8
ENSG00000152022	0
ENSG00000131795	4
ENSG00000131779	2
ENSG00000131788	13
ENSG00000131791	1
ENSG00000180867	6
ENSG00000131778	1
ENSG00000150337	7
ENSG00000184678	3
ENSG00000178096	10
ENSG00000159164	2
ENSG00000143368	15
ENSG00000163113	1
ENSG00000136631	5
ENSG00000023902	7
ENSG00000143401	4
ENSG00000118298	1
ENSG00000117362	0
ENSG00000118292	3
ENSG00000187145	5
ENSG00000117360	0
ENSG00000143374	13
ENSG00000143384	3
ENSG00000143420	4
ENSG00000163131	7
ENSG00000143437	3
ENSG00000143418	1
ENSG00000143412	1
ENSG00000143409	1
ENSG00000197622	14
ENSG00000213190	2
ENSG00000163154	7
ENSG00000163156	10
ENSG00000163159	10
ENSG00000143398	0
ENSG00000159352	12
ENSG00000143393	0
ENSG00000143390	7
ENSG00000143416	9
ENSG00000159377	2
ENSG00000143442	1
ENSG00000143376	1
ENSG00000159409	2
ENSG00000143436	0
ENSG00000197747	3
ENSG00000163191	7
ENSG00000163220	3
ENSG00000143546	3
ENSG00000197956	3
ENSG00000196154	7
ENSG00000188643	3
ENSG00000189171	4
ENSG00000160678	1
ENSG00000160679	6
ENSG00000143553	1
ENSG00000143621	6
ENSG00000143624	13
ENSG00000143614	1
ENSG00000198837	13
ENSG00000160741	0
ENSG00000143570	3
ENSG00000143543	3
ENSG00000143545	8
ENSG00000177954	8
ENSG00000143549	3
ENSG00000143612	6
ENSG00000143569	13
ENSG00000143575	7
ENSG00000160712	3
ENSG00000160714	2
ENSG00000160710	2
ENSG00000163344	10
ENSG00000163346	9
ENSG00000163348	1
ENSG00000160691	3
ENSG00000160685	0
ENSG00000143537	0
ENSG00000169242	11
ENSG00000169241	11
ENSG00000179085	12
ENSG00000163463	10
ENSG00000163462	1
ENSG00000173171	0
ENSG00000177628	1
ENSG00000160767	0
ENSG00000116521	1
ENSG00000176444	13
ENSG00000160752	1
ENSG00000160753	2
ENSG00000116539	0
ENSG00000163374	6
ENSG00000132676	7
ENSG00000132718	1
ENSG00000143622	3
ENSG00000132680	1
ENSG00000116584	1
ENSG00000163479	3
ENSG00000160803	2
ENSG00000116586	12
ENSG00000160789	0
ENSG00000160785	1
ENSG00000160783	1
ENSG00000242252	10
ENSG00000160781	0
ENSG00000198952	13
ENSG00000198715	11
ENSG00000163468	0
ENSG00000125462	2
ENSG00000116604	5
ENSG00000163382	4
ENSG00000160818	4
ENSG00000132702	1
ENSG00000132692	2
ENSG00000132688	0
ENSG00000143320	2
ENSG00000143303	0
ENSG00000143314	11
ENSG00000143321	3
ENSG00000143294	0
ENSG00000132694	5
ENSG00000163563	7
ENSG00000163565	3
ENSG00000162706	2
ENSG00000213088	3
ENSG00000158716	3
ENSG00000272668	4
ENSG00000158710	3
ENSG00000260766	1
ENSG00000143315	1
ENSG00000177807	1
ENSG00000162728	4
ENSG00000162729	1
ENSG00000018625	9
ENSG00000162734	1
ENSG00000132716	1
ENSG00000162735	1
ENSG00000122218	14
ENSG00000162736	1
ENSG00000162738	1
