Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [location]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [time day]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [location]	FactorValue [time day]	FactorValue [treatment]
GSM1698085 1	Rostral.LC.90d	Rostral.LC.90d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	90d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698085 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698085 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698085	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698085_091113-Rat230_2-09266D_SR3-90d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698085_sample_table.txt norm	GSM1698085_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	90d	Lesion control(LC)
GSM1698084 1	Rostral.LC.90d	Rostral.LC.90d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	90d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698084 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698084 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698084	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698084_091113-Rat230_2-09266D_SR2-90d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698084_sample_table.txt norm	GSM1698084_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	90d	Lesion control(LC)
GSM1698083 1	Rostral.LC.90d	Rostral.LC.90d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	90d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698083 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698083 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698083	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698083_091113-Rat230_2-09266D_SR1-90d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698083_sample_table.txt norm	GSM1698083_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	90d	Lesion control(LC)
GSM1698082 1	Rostral.LC.60d	Rostral.LC.60d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	60d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698082 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698082 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698082	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698082_091113-Rat230_2-09266D_SR3-60d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698082_sample_table.txt norm	GSM1698082_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	60d	Lesion control(LC)
GSM1698081 1	Rostral.LC.60d	Rostral.LC.60d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	60d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698081 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698081 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698081	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698081_091113-Rat230_2-09266D_SR2-60d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698081_sample_table.txt norm	GSM1698081_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	60d	Lesion control(LC)
GSM1698080 1	Rostral.LC.60d	Rostral.LC.60d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	60d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698080 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698080 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698080	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698080_091113-Rat230_2-09266D_SR1-60d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698080_sample_table.txt norm	GSM1698080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	60d	Lesion control(LC)
GSM1698079 1	Rostral.LC.30d	Rostral.LC.30d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	30d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698079 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698079 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698079	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698079_090930-Rat230_2-09266C_sR3_30d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698079_sample_table.txt norm	GSM1698079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	30d	Lesion control(LC)
GSM1698078 1	Rostral.LC.30d	Rostral.LC.30d.2	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	30d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698078 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698078 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698078	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698078_090930-Rat230_2-09266C_sR2_30d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698078_sample_table.txt norm	GSM1698078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	30d	Lesion control(LC)
GSM1698077 1	Rostral.LC.30d	Rostral.LC.30d.1	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	30d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698077 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698077 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698077	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698077_090930-Rat230_2-09266C_sR1_30d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698077_sample_table.txt norm	GSM1698077_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	30d	Lesion control(LC)
GSM1698076 1	Rostral.LC.20d	Rostral.LC.20d.3	Rostral region 5mm tissue	Rattus norvegicus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10116	spinal cord	EFO	http://purl.obolibrary.org/obo/UBERON_0002240	20d	P-GSE69334-2	ArrayExpress	P-GSE69334-3	ArrayExpress	GSM1698076 extract 1	total RNA	P-GSE69334-4	ArrayExpress	GSM1698076 LE 1	biotin	P-GSE69334-5	ArrayExpress	GSM1698076	A-AFFY-43	ArrayExpress	array assay	P-GSE69334-6	ArrayExpress	GSM1698076_090929-Rat230_2-09266C_sR3_20d.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.raw.1.zip	P-GSE69334-1	ArrayExpress	GSM1698076_sample_table.txt norm	GSM1698076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69334/E-GEOD-69334.processed.1.zip	Rostral region 5mm tissue	20d	Lesion control(LC)
